uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
159, 0.01169, 0.01221, 0.01222, 0.01232, 0.03387, 0.09462, 0.02817, 0.02817, 0.02844, 0.01439
160, 0.01336, 0.01423, 0.01394, 0.01423, 0.01366, 0.06658, 0.01672, 0.01672, 0.02155, 0.01683
161, 0.00413, 0.00537, 0.00393, 0.00472, 0.00524, 0.01586, 0.00673, 0.00673, 0.02221, 0.00434
162, 0.03086, 0.02852, 0.02969, 0.02852, 0.03776, 0.05558, 0.06179, 0.06179, 0.07601, 0.02942
163, 0.01014, 0.00742, 0.00888, 0.00944, 0.00334, 0.02657, 0.01505, 0.01505, 0.01241, 0.00632
164, 0.04008, 0.03925, 0.04039, 0.03925, 0.05877, 0.14431, 0.08646, 0.08646, 0.04408, 0.04678
165, 0.05129, 0.05206, 0.05278, 0.05206, 0.03511, 0.09505, 0.07400, 0.07400, 0.06814, 0.05220
166, 0.05008, 0.04833, 0.04946, 0.04833, 0.06465, 0.15451, 0.06995, 0.06995, 0.05126, 0.05624
167, 0.04975, 0.04912, 0.04922, 0.04912, 0.07942, 0.15012, 0.08980, 0.08980, 0.08454, 0.05707
168, 0.04796, 0.04903, 0.04974, 0.04903, 0.04864, 0.08946, 0.05576, 0.05576, 0.06567, 0.05525
169, 0.03405, 0.03615, 0.03636, 0.03615, 0.08992, 0.16460, 0.09336, 0.09336, 0.11970, 0.04117
170, 0.01076, 0.01047, 0.01020, 0.01008, 0.02998, 0.01694, 0.08965, 0.08965, 0.03021, 0.00617
171, 0.04692, 0.04587, 0.04649, 0.04587, 0.06884, 0.12331, 0.06769, 0.06769, 0.10972, 0.05174
172, 0.01473, 0.01613, 0.01757, 0.01657, 0.01437, 0.04646, 0.09711, 0.09711, 0.07125, 0.01455
173, 0.02320, 0.02291, 0.02276, 0.02291, 0.05174, 0.10651, 0.05741, 0.05741, 0.05248, 0.02415
174, 0.00857, 0.00792, 0.00701, 0.00719, 0.00777, 0.03025, 0.01899, 0.01899, 0.02960, 0.00824
175, 0.04504, 0.04229, 0.04280, 0.04229, 0.06043, 0.08476, 0.06348, 0.06348, 0.06683, 0.05114
176, 0.00351, 0.00550, 0.00404, 0.00482, 0.00898, 0.03518, 0.02244, 0.02244, 0.01182, 0.00388
177, 0.03943, 0.03833, 0.03816, 0.03833, 0.06453, 0.12624, 0.05734, 0.05734, 0.06075, 0.04154
178, 0.05442, 0.05366, 0.05406, 0.05366, 0.07492, 0.15225, 0.06962, 0.06962, 0.06710, 0.06596
179, 0.01528, 0.01789, 0.01837, 0.01785, 0.02561, 0.07172, 0.02092, 0.02092, 0.02844, 0.01704
180, 0.04745, 0.04724, 0.04749, 0.04724, 0.05877, 0.12831, 0.05180, 0.05180, 0.05499, 0.05148
181, 0.00739, 0.01787, 0.01246, 0.01499, 0.00947, 0.17137, 0.02925, 0.02925, 0.04945, 0.00972
