sample_number, space_size, shape, density, rpu, rpi, gini_u, gini_i, pop_avg, pop_std, pop_skew, pop_kurtosis, long_tail_avg, long_tail_std, long_tail_skew, long_tail_kurtosis, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
403, 1332186, 0.6478, 0.0623, 89.4015, 57.9177, 0.4655, 0.6348, 0.2050, 0.0444, 0.2525, -0.0397, 0.1613, 0.1038, 0.9966, 1.6318, 0.0356, 0.0404, 0.0402, 0.0404, 0.0637, 0.2315, 0.0992, 0.0992, 0.1215, 0.0562
404, 1256164, 0.4526, 0.0633, 105.4350, 47.7179, 0.4673, 0.6323, 0.2030, 0.0422, 0.2393, -0.0083, 0.1656, 0.1003, 0.9862, 1.7891, 0.0393, 0.0407, 0.0418, 0.0407, 0.0530, 0.2166, 0.1009, 0.1009, 0.1266, 0.0607
405, 1237805, 0.6270, 0.0633, 88.9569, 55.7801, 0.4768, 0.6279, 0.2003, 0.0426, 0.3277, 0.1621, 0.1653, 0.1037, 1.0474, 1.9867, 0.0497, 0.0527, 0.0521, 0.0524, 0.0676, 0.2291, 0.1103, 0.1103, 0.1354, 0.0615
406, 195624, 0.1181, 0.0590, 75.9868, 8.9744, 0.4264, 0.6394, 0.1980, 0.0499, 0.3924, 0.2340, 0.1628, 0.1165, 1.3562, 2.6174, 0.0387, 0.0420, 0.0420, 0.0420, 0.0220, 0.2191, 0.1121, 0.1121, 0.1216, 0.0784
407, 989295, 0.4310, 0.0627, 95.0245, 40.9578, 0.4743, 0.6250, 0.2016, 0.0435, 0.2408, -0.1687, 0.1563, 0.1007, 0.9718, 1.4145, 0.0398, 0.0424, 0.0429, 0.0424, 0.0549, 0.2236, 0.0973, 0.0973, 0.1301, 0.0549
408, 728406, 0.5944, 0.0625, 69.1413, 41.0976, 0.4710, 0.6366, 0.2060, 0.0453, 0.3172, -0.0741, 0.1678, 0.1112, 1.0822, 1.9102, 0.0428, 0.0442, 0.0445, 0.0443, 0.0657, 0.2379, 0.1014, 0.1014, 0.1556, 0.0660
409, 536640, 0.8821, 0.0624, 48.6991, 42.9551, 0.4793, 0.6277, 0.2079, 0.0511, 0.3669, 0.1555, 0.1591, 0.1149, 1.1001, 1.9971, 0.0756, 0.0802, 0.0782, 0.0790, 0.0842, 0.2780, 0.1302, 0.1302, 0.1638, 0.0947
410, 909876, 0.5889, 0.0649, 80.6120, 47.4722, 0.4839, 0.6274, 0.2031, 0.0423, 0.3015, 0.3542, 0.1667, 0.1071, 1.0157, 2.0256, 0.0391, 0.0411, 0.0412, 0.0409, 0.0594, 0.2233, 0.0970, 0.0970, 0.1332, 0.0604
411, 1086865, 0.4863, 0.0635, 94.9285, 46.1625, 0.4705, 0.6312, 0.2034, 0.0437, 0.3394, 0.0127, 0.1674, 0.1002, 0.9562, 1.5520, 0.0336, 0.0374, 0.0377, 0.0372, 0.0566, 0.2260, 0.0908, 0.0908, 0.1267, 0.0572
412, 424815, 1.0535, 0.0617, 39.2003, 41.2992, 0.4745, 0.6419, 0.2081, 0.0526, 0.4152, 0.1767, 0.1674, 0.1261, 0.9786, 1.6051, 0.0866, 0.0911, 0.0907, 0.0907, 0.0965, 0.3016, 0.1454, 0.1454, 0.1983, 0.1177
413, 520734, 0.2407, 0.0631, 92.8785, 22.3515, 0.4661, 0.6307, 0.2066, 0.0456, 0.1938, 0.0211, 0.1641, 0.1110, 1.2254, 2.3956, 0.0412, 0.0425, 0.0425, 0.0425, 0.0369, 0.2278, 0.1010, 0.1010, 0.1135, 0.0584
414, 396738, 0.5663, 0.0648, 54.2257, 30.7085, 0.4891, 0.6282, 0.2074, 0.0494, 0.4379, 0.1334, 0.1657, 0.1172, 1.1178, 2.2910, 0.0581, 0.0606, 0.0599, 0.0603, 0.0745, 0.2602, 0.1143, 0.1143, 0.1811, 0.0831
415, 120100, 0.0833, 0.0587, 70.5300, 5.8726, 0.5008, 0.6413, 0.1939, 0.0397, 0.1111, 0.0205, 0.1385, 0.0930, 1.5371, 5.2860, 0.0456, 0.0449, 0.0441, 0.0449, 0.0300, 0.2129, 0.1273, 0.1273, 0.1523, 0.0882
