Computing user similarities...
Done. Elapsed time: 505.35341691970825 s
Computing social similarities...
Done. Elapsed time: 84.50018286705017 s
Computing PPR values for all users...
Done. Elapsed time: 478.37237524986267 s
Precomputing recommendation scores...
Done. Elapsed time: 395.76271080970764 s
Saving result...
Done. Elapsed time: 4149.177231788635 s
57 12808 pre@10: 0.03620689655172414 rec@10: 0.04500620519890298
58 5824 pre@10: 0.03559322033898305 rec@10: 0.04424338816163343
59 6244 pre@10: 0.035 rec@10: 0.04350599835893954
60 15485 pre@10: 0.03442622950819672 rec@10: 0.042792785271088075
61 10062 pre@10: 0.03387096774193549 rec@10: 0.042102579057038264
62 11438 pre@10: 0.03333333333333333 rec@10: 0.041434284151370994
63 3565 pre@10: 0.0328125 rec@10: 0.04078687346150582
64 949 pre@10: 0.03384615384615385 rec@10: 0.043236306177482656
65 16823 pre@10: 0.03636363636363637 rec@10: 0.04436374182363488
66 9879 pre@10: 0.03582089552238806 rec@10: 0.04370159642328212
67 1561 pre@10: 0.03529411764705883 rec@10: 0.04305892588764562
68 12479 pre@10: 0.03623188405797102 rec@10: 0.046058071889273945
69 17820 pre@10: 0.03571428571428572 rec@10: 0.04540009943371289
70 17083 pre@10: 0.03661971830985916 rec@10: 0.047577562821970454
71 13200 pre@10: 0.037500000000000006 rec@10: 0.05038898556055419
72 12464 pre@10: 0.036986301369863014 rec@10: 0.04969872548438222
73 12815 pre@10: 0.03648648648648649 rec@10: 0.04902712108594462
74 15637 pre@10: 0.036000000000000004 rec@10: 0.048373426138132024
75 3535 pre@10: 0.035526315789473684 rec@10: 0.047736933688946076
76 6418 pre@10: 0.03506493506493507 rec@10: 0.04711697351116756
77 17023 pre@10: 0.03461538461538462 rec@10: 0.04651290974820387
78 14337 pre@10: 0.035443037974683546 rec@10: 0.046715277979239266
79 18650 pre@10: 0.034999999999999996 rec@10: 0.04613133700449877
80 15406 pre@10: 0.0345679012345679 rec@10: 0.04556181432543089
81 14574 pre@10: 0.03780487804878049 rec@10: 0.05415252390682807
82 9587 pre@10: 0.03734939759036144 rec@10: 0.05350008385975785
83 9743 pre@10: 0.03809523809523809 rec@10: 0.05418592942227396
84 1577 pre@10: 0.0388235294117647 rec@10: 0.05438878403411275
85 16205 pre@10: 0.03837209302325581 rec@10: 0.05375635631278586
86 15605 pre@10: 0.03793103448275862 rec@10: 0.05313846715976533
87 14322 pre@10: 0.0375 rec@10: 0.05253462094204073
88 1453 pre@10: 0.03707865168539325 rec@10: 0.05194434430224251
89 13871 pre@10: 0.03777777777777778 rec@10: 0.05358940714332871
90 9287 pre@10: 0.03736263736263736 rec@10: 0.053000512559336084
91 11513 pre@10: 0.03695652173913044 rec@10: 0.05242442003151722
92 11986 pre@10: 0.03655913978494624 rec@10: 0.05186071659031811
93 23 pre@10: 0.036170212765957444 rec@10: 0.051309006839357275
94 15066 pre@10: 0.037894736842105266 rec@10: 0.05137041578992043
95 5557 pre@10: 0.03854166666666667 rec@10: 0.05213739062544209
96 2748 pre@10: 0.03814432989690722 rec@10: 0.051599891753014854
97 10678 pre@10: 0.03775510204081633 rec@10: 0.05107336224533103
98 3052 pre@10: 0.03737373737373738 rec@10: 0.05055746969739839
99 18567 pre@10: 0.037000000000000005 rec@10: 0.05005189500042441
100 305 pre@10: 0.03762376237623763 rec@10: 0.04996887293771394
101 3675 pre@10: 0.03823529411764706 rec@10: 0.05056830664529626
102 14224 pre@10: 0.037864077669902914 rec@10: 0.05007735221184678
103 3258 pre@10: 0.0375 rec@10: 0.049595839209809804
104 4993 pre@10: 0.037142857142857144 rec@10: 0.04912349788400209
105 7262 pre@10: 0.03679245283018868 rec@10: 0.04866006865868132
106 15712 pre@10: 0.03644859813084112 rec@10: 0.04820530166187121
107 12127 pre@10: 0.03611111111111111 rec@10: 0.047758956276113144
108 12081 pre@10: 0.03669724770642202 rec@10: 0.04863141670346204
109 4964 pre@10: 0.03636363636363636 rec@10: 0.04818931291524875
110 6781 pre@10: 0.036036036036036036 rec@10: 0.04775517496105732
111 9418 pre@10: 0.03660714285714285 rec@10: 0.04844486089890502
112 16467 pre@10: 0.036283185840707964 rec@10: 0.04801614531572886
113 17936 pre@10: 0.03596491228070175 rec@10: 0.04759495105857335
114 10121 pre@10: 0.035652173913043476 rec@10: 0.04718108191893358
115 3943 pre@10: 0.03534482758620689 rec@10: 0.04677434845411519
116 18213 pre@10: 0.03675213675213675 rec@10: 0.050648071971601386
117 6695 pre@10: 0.036440677966101696 rec@10: 0.050218851022689505
118 13848 pre@10: 0.0361344537815126 rec@10: 0.04979684387123833
119 11033 pre@10: 0.035833333333333335 rec@10: 0.04938187017231135
