uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
70, 0.63442, 0.64101, 0.64247, 0.64101, 0.53006, 0.88167, 0.67545, 0.67545, 0.72662, 0.67139
71, 0.40401, 0.41629, 0.40383, 0.41629, 0.40984, 0.78629, 0.38351, 0.38351, 0.33961, 0.47478
72, 0.53908, 0.53209, 0.53206, 0.53209, 0.38565, 0.71511, 0.50928, 0.50928, 0.43262, 0.58471
73, 0.77496, 0.78344, 0.79022, 0.78344, 0.64385, 0.86232, 0.84379, 0.84379, 0.84637, 0.81003
74, 0.78491, 0.78774, 0.79269, 0.78774, 0.68777, 0.90912, 0.84233, 0.84233, 0.85930, 0.84214
75, 0.41129, 0.42946, 0.41661, 0.42937, 0.68034, 0.81124, 0.36219, 0.36219, 0.69922, 0.50239
76, 0.46138, 0.47389, 0.46205, 0.47389, 0.47403, 0.79670, 0.43207, 0.43207, 0.49044, 0.47182
77, 0.75073, 0.75586, 0.75692, 0.75586, 0.75052, 0.91178, 0.78135, 0.78135, 0.80923, 0.77435
78, 0.59573, 0.65156, 0.64583, 0.65156, 0.71858, 0.90104, 0.67461, 0.67461, 0.72350, 0.73315
79, 0.48230, 0.49333, 0.50214, 0.49333, 0.42206, 0.84387, 0.49612, 0.49612, 0.54018, 0.55870
80, 0.53611, 0.51779, 0.51741, 0.51779, 0.36978, 0.78506, 0.53459, 0.53459, 0.78274, 0.54366
81, 0.83207, 0.84712, 0.84704, 0.84712, 0.73868, 0.91578, 0.88746, 0.88746, 0.88860, 0.81758
82, 0.79495, 0.82555, 0.82261, 0.82555, 0.61435, 0.91935, 0.89537, 0.89537, 0.90783, 0.82639
83, 0.76578, 0.77256, 0.77829, 0.77254, 0.64395, 0.80469, 0.82057, 0.82057, 0.82626, 0.76860
84, 0.77026, 0.78077, 0.78321, 0.78077, 0.68939, 0.82633, 0.84265, 0.84265, 0.85905, 0.81261
85, 0.58462, 0.50271, 0.50083, 0.50271, 0.52232, 0.84154, 0.51224, 0.51224, 0.55973, 0.52406
86, 0.59694, 0.57918, 0.57425, 0.57918, 0.55191, 0.83441, 0.58546, 0.58546, 0.63786, 0.60585
87, 0.58985, 0.57560, 0.57785, 0.57560, 0.50294, 0.85076, 0.59182, 0.59182, 0.45560, 0.61785
88, 0.64205, 0.65110, 0.65432, 0.65110, 0.49646, 0.80835, 0.67238, 0.67238, 0.73472, 0.69606
89, 0.53122, 0.54471, 0.55139, 0.54471, 0.48734, 0.84904, 0.53860, 0.53860, 0.60502, 0.59055
90, 0.70468, 0.69812, 0.70165, 0.69812, 0.59936, 0.72638, 0.72055, 0.72055, 0.60436, 0.72993
91, 0.47743, 0.48149, 0.48721, 0.48149, 0.41379, 0.75634, 0.44218, 0.44218, 0.46352, 0.49202
92, 0.69305, 0.66515, 0.66155, 0.66550, 0.55669, 0.90488, 0.59916, 0.59916, 0.69796, 0.71139
93, 0.93740, 0.93004, 0.92618, 0.93018, 0.90740, 0.94308, 0.96243, 0.96243, 0.95471, 0.93424
94, 0.44588, 0.45058, 0.45032, 0.45053, 0.34108, 0.80110, 0.40153, 0.40153, 0.38908, 0.42648
95, 0.80738, 0.80379, 0.81012, 0.80437, 0.71846, 0.79658, 0.84887, 0.84887, 0.86201, 0.83398
96, 0.67128, 0.67858, 0.68117, 0.67858, 0.54074, 0.91106, 0.68703, 0.68703, 0.80532, 0.70658
