Computing user similarities...
Done. Elapsed time: 1128.3230609893799 s
Computing social similarities...
Done. Elapsed time: 216.90348744392395 s
Computing PPR values for all users...
Done. Elapsed time: 926.8205814361572 s
Precomputing recommendation scores...
Done. Elapsed time: 622.6952242851257 s
Saving result...
Done. Elapsed time: 3997.6886031627655 s
50 15105 pre@10: 0.00784313725490196 rec@10: 0.0130718954248366
51 17775 pre@10: 0.007692307692307693 rec@10: 0.01282051282051282
52 5596 pre@10: 0.007547169811320755 rec@10: 0.012578616352201257
53 26140 pre@10: 0.007407407407407408 rec@10: 0.012345679012345678
54 559 pre@10: 0.007272727272727273 rec@10: 0.012121212121212121
55 26607 pre@10: 0.0071428571428571435 rec@10: 0.011904761904761904
56 5811 pre@10: 0.007017543859649123 rec@10: 0.011695906432748537
57 7581 pre@10: 0.006896551724137932 rec@10: 0.011494252873563218
58 22511 pre@10: 0.00847457627118644 rec@10: 0.014124293785310733
59 7738 pre@10: 0.008333333333333333 rec@10: 0.013888888888888888
60 19225 pre@10: 0.00819672131147541 rec@10: 0.01366120218579235
61 10058 pre@10: 0.008064516129032258 rec@10: 0.013440860215053762
62 9915 pre@10: 0.007936507936507936 rec@10: 0.013227513227513227
63 7329 pre@10: 0.0078125 rec@10: 0.013020833333333332
64 14104 pre@10: 0.007692307692307693 rec@10: 0.01282051282051282
65 19476 pre@10: 0.007575757575757576 rec@10: 0.012626262626262624
66 10320 pre@10: 0.007462686567164179 rec@10: 0.01243781094527363
67 6709 pre@10: 0.007352941176470588 rec@10: 0.012254901960784312
68 6328 pre@10: 0.007246376811594203 rec@10: 0.012077294685990336
69 2736 pre@10: 0.007142857142857143 rec@10: 0.011904761904761904
70 8323 pre@10: 0.007042253521126761 rec@10: 0.011737089201877934
71 22132 pre@10: 0.006944444444444444 rec@10: 0.011574074074074073
72 8117 pre@10: 0.00684931506849315 rec@10: 0.01141552511415525
73 55 pre@10: 0.006756756756756757 rec@10: 0.01126126126126126
74 1205 pre@10: 0.009333333333333332 rec@10: 0.016444444444444446
75 20198 pre@10: 0.009210526315789473 rec@10: 0.0162280701754386
76 16460 pre@10: 0.00909090909090909 rec@10: 0.016017316017316017
77 19681 pre@10: 0.008974358974358974 rec@10: 0.01581196581196581
78 11530 pre@10: 0.008860759493670885 rec@10: 0.015611814345991562
79 22439 pre@10: 0.008749999999999999 rec@10: 0.015416666666666667
80 14203 pre@10: 0.008641975308641974 rec@10: 0.015226337448559672
81 30648 pre@10: 0.008536585365853657 rec@10: 0.015040650406504066
82 7191 pre@10: 0.008433734939759036 rec@10: 0.014859437751004017
83 10524 pre@10: 0.008333333333333333 rec@10: 0.014682539682539682
84 1764 pre@10: 0.008235294117647058 rec@10: 0.014509803921568629
85 18434 pre@10: 0.00813953488372093 rec@10: 0.014341085271317831
86 9855 pre@10: 0.009195402298850575 rec@10: 0.016475095785440614
87 13625 pre@10: 0.009090909090909092 rec@10: 0.01628787878787879
88 29122 pre@10: 0.008988764044943821 rec@10: 0.01610486891385768
89 1130 pre@10: 0.008888888888888889 rec@10: 0.015925925925925927
90 3335 pre@10: 0.008791208791208791 rec@10: 0.01575091575091575
91 4394 pre@10: 0.009782608695652175 rec@10: 0.015909090909090907
92 10263 pre@10: 0.00967741935483871 rec@10: 0.01573802541544477
93 14689 pre@10: 0.01170212765957447 rec@10: 0.01592520954223082
94 16477 pre@10: 0.011578947368421053 rec@10: 0.01575757575757576
95 19287 pre@10: 0.011458333333333334 rec@10: 0.015593434343434345
